pillar	capacity	indicator	score	attribute
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	5	"Multisectoral national AMR action plan has identified funding sources, is being implemented and has monitoring in place, and is updated and evaluated regularly"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	1	"No or limited capacity for generating, collating, and reporting data (antibiotic susceptibility testing and accompanying clinical and epidemiological data)"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	2	"AMR data are collated locally for common pathogens in hospitalized and community patients, but data collection may not use a standard approach and lacks national coordination and/or quality management"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	3	"AMR data are collated nationally for common pathogens, but national coordination and standardization are lacking"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	4	"There is a standardized national AMR surveillance system collecting data on common pathogens in hospitalized and community patients, with an established network of surveillance sites, designated national reference laboratory for AMR and a national coordinating centre (NCC) producing reports on AMR"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	5	"The national AMR surveillance system’s data is analysed, interpreted and reported together with antimicrobial consumption and/or use data for human health, and analysis of similar data across sectors (human and animal health and agriculture) is attempted"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	1	"Priority multidrug resistant organism (MDRO) pathogens (phenotypes and genotypes) have not been identified by national authorities, and MDRO pathogens are not detected"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	2	National strategy or guidance for multidrug resistant organism (MDRO) containment exists and includes colonization screening priority MDRO pathogens (phenotypes and genotypes) have been identified by national authorities. Some health facilities can detect priority MDRO pathogens based on laboratory data
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	3	Selected health facilities have access to multidrug resistant organism (MDRO) phenotype confirmation. Facilities notify national levels when priority MDRO pathogens are detected
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	4	All health facilities have access to multidrug resistant organism (MDRO) phenotype confirmation. Facilities notify national levels when priority MDRO pathogens are detected in a timely manner. Responses are tracked and supported at the national level
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	5	"Functional system in place to rapidly communicate and track the detection, confirmation and notification of novel or priority multidrug resistant organisms (MDROs) within hospitals and to national levels. All hospitals are able to launch response activities to priority MDRO pathogens in a timely manner. Facilities regularly communicate pertinent MDRO data to local referral networks to inform prevention/ containment efforts"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	1	"No or weak national policy and/or regulations on appropriate use, availability, quality and use of antimicrobials in human health"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	2	National policy and regulations promoting appropriate antimicrobial use/antimicrobial stewardship activities are developed for the community and health care settings
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	3	"Guidelines for appropriate use of antimicrobials are available and antimicrobial stewardship programs are established in some health care facilities. The “Access, Watch and Reserve” (AWaRe) classification of antibiotics is adopted in the national essential medicines list"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	4	Guidelines and practices to enable appropriate use of antimicrobials are implemented in health care facilities nationwide. Functioning AMR stewardship programs in all major health care facilities. Monitoring of antibiotic consumption is being performed and based on the AWaRe classification of antibiotics
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	5	Guidelines on optimizing antibiotic use are implemented for all major syndromes and data on use is systematically fed back to prescribers. The AWaRe classification of antibiotics is incorporated into antimicrobial stewardship strategies. Robust national monitoring of antibiotic consumption is being performed
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	1	"No national policy or legislation regarding the quality, safety and efficacy of antimicrobial products and antimicrobial pesticides, and their distribution, sale or use in other sectors"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	2	"National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products and/or antimicrobial pesticides"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	3	"National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products and/or antimicrobial pesticides"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	4	"The national regulatory framework for antimicrobial products and/or antimicrobial pesticides incorporates all the elements included in the related international standards on responsible and prudent use of antimicrobials (e.g., OIE Terrestrial and Aquatic Codes, Codex Alimentarius) according to animal species, plant type/species and/or production sector"
Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	5	Enforcement processes and control are in place to ensure compliance with legislation on the use of antimicrobial products and/or antimicrobial pesticides
Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	1	"No agreed list of prioritized zoonotic diseases. Capacities for the surveillance of zoonotic diseases do exist but are not coordinated between the animal health, public health and environment sectors and exchange of information is on ad hoc basis"
Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	2	"A list of priority zoonotic diseases has been agreed on between the animal health, public health and environment sectors. Coordination of surveillance activities between animal health, public health, and environmental sectors is informal, and limited to few diseases. Information sharing is not systematic"
Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	3	"Coordination of surveillance activities for listed priority emerging and endemic zoonotic diseases is formalized between the animal health, public health and environment sectors at the national level, ensuring exchange of information, joint assessment of risks, using a One Health approach"
Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	4	"Multisectoral surveillance systems for priority emerging and endemic priority zoonotic diseases are in place at the national level and formal coordination mechanisms between the animal health, public health and environment sectors are also established at intermediate levels, allowing the surveillance of the whole territory"
Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	5	"Coordinated surveillance of priority and emerging zoonotic diseases between animal health, public health and environment sectors is tested/assessed/reviewed and improved on a regular basis (annually)"
Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	1	"Despite the existence of mechanisms for the response to certain specific diseases or pathogens, no coordination between the animal health, public health and environment sectors is organized for zoonotic diseases"
Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	2	"Multisectoral national policy, strategy and/or plan for response to zoonotic events have been elaborated and are documented. Multisectoral contingency plans following a One Health approach have been developed for the most important endemic and epidemic zoonotic diseases"
Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	3	"A multisectoral operational mechanism for coordinated response to out-breaks of endemic, emerging or re-emerging zoonotic diseases by human health, animal health and environment sectors is in place"
Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	4	"Several experiences of response to zoonotic events confirm timeliness and efficiency of the multisectoral operational mechanism, including clear definition of roles, responsibilities and procedures between sectors in charge of domestic animal, wildlife, human health and other relevant sectors"
Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	5	"The multisectoral operational mechanism for the response to outbreaks of endemic, emerging or re-emerging zoonotic diseases is regularly tested through exercises and/or real events and adjusted accordingly"
Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	1	Systematic efforts to improve good sanitary practices in the breeding of terrestrial and aquatic animals and in the production of animal products are not actively promoted or are minimal
Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	2	"Some activities are in place to develop and promote good sanitary practices in animal breeding and production of animal products, limiting the risks of transmission of zoonotic diseases"
Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	3	"National plan for good practices in animal breeding and production of animal products, including sanitary practices, are established based on international standards (e.g., OIE Terrestrial and Aquatic Codes, Codex Alimentarius) and implemented. National guidelines for good production practices are developed, published, disseminated and adjusted for implementation from local farm to the trade of animal product level, limiting the risk of transmission of zoonotic diseases"
Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	4	"Nationwide implementation of the national plan for good practices in animal breeding and production of animal products, including sanitary practices across all major animal value chains is ensured and prevent transmission of zoonotic diseases"
Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	5	"Periodic inspection, assessment and monitoring of practices in animal breeding and production of animal products are conducted in the main animal production value chains and the compliance with national guidance is constantly verified"
Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	1	No or very limited surveillance system in place for foodborne diseases or food contamination (chemical and microbiological) monitoring
Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	2	Country has IBS or EBS and monitoring systems in place to monitor and detect foodborne events (outbreak or contamination)
Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	3	"IBS or EBS system includes laboratory analysis to assign etiology of foodborne diseases or origin of contamination event, and investigate hazards in foods linked to cases, outbreaks or events"
Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	4	Country has capacity to undertake rapid risk assessments of acute foodborne events at the national and intermediate levels
Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	5	"Country has a surveillance system in place that integrates information from the entire food chain including timely and systematic information exchange, to enable a better understanding of risk and mitigation possibilities"
Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	1	No or very limited response and management of food safety emergency mechanism is in place
Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	2	Country has a national food safety emergency plan with food safety emergencies defined to serve as a trigger for escalating appropriate response
Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	3	"Country has a national food safety emergency plan and a designated INFOSAN Emergency Contact Point, with a central coordination mechanism in place that includes all relevant sectors with functional arrangements in place for the implementation of response in the event of a food safety emergency"
Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	4	"Strategies and guidance for communicating with partners, stakeholders, general public and international organizations are in place"
Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	5	"The food safety emergency response plan, based on the risk analysis framework, is tested and/or reviewed after an emergency has occurred"
Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	1	"Elements of a comprehensive risk-based assessment approach in national biosafety and biosecurity system, such as policy instruments and proper financing, are not in place"
Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	2	"Some, but not all, elements of a comprehensive biosafety and biosecurity system are in place. The country is:
i) starting the process to monitor and develop an updated record and inventory of pathogens within facilities that store or process dangerous pathogens and toxins and what they house
ii) developing, but has not finalized, comprehensive national biosafety and biosecurity regulatory framework to regulate their possession and use"
Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	3	"Comprehensive national biosafety and biosecurity system are in place.
The country is:
i) finalizing the process to support active monitoring and maintaining an up to date records and inventory of pathogens within facilities that store or process high-consequence biological agents
ii) finalizing the development of comprehensive national biosafety and biosecurity framework based on risk assessment to regulate possession and use of high-consequence agents
iii) finalizing the development and implementation of risk control measures, operational handling and containment failure reporting systems
iv) starting the consolidation of high-consequence agents into a minimum number of facilities
v) starting to put into place tools and resources to support diagnostics that do not require culturing high-consequence agents
vi) starting to put in place incident and emergency and response programmes. Basic methods are in place for the safe handling, decontamination and disposal of infectious waste"
Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	4	"Biosafety and biosecurity system is developed, but not sustainable. The country is:
i) actively monitoring and maintaining an updated record and inventory of pathogens within facilities that store or process dangerous pathogens and toxins
ii) implementing enacted comprehensive national biosafety and biosecurity regulatory framework
iii) implementing the national framework to regulate possession and use of high-consequence agents
iv) implementing risk control measures, operational handling and containment failure reporting systems
v) completing the consolidation of high-consequence agents into a minimum number of facilities
vi) employing diagnostics that preclude culturing high-consequence biological agents
vii) operating incident and emergency and response programmes
viii) operating waste management practices which cover sharps, contaminated waste, chemical waste and non-hazardous general waste with full documentation of waste management"
Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	5	"Sustainable multisectoral biosafety and biosecurity system is in place including information security. Ministries have made available adequate funding and political support for a comprehensive national biosafety and biosecurity system, including maintenance of facilities and equipment, as well as review and update the national framework and its effectiveness periodically. Complete disinfection, sterilization and waste management practices are in place"
Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	1	No biological biosafety and biosecurity training or plans are in place
Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	2	"Country has conducted a training needs assessment and identified gaps in biosafety and biosecurity training but has not yet implemented comprehensive training that aligns with the incumbent roles and responsibilities. General lack of awareness among the laboratory workforce of international biosafety and biosecurity best practices for safe, secure and responsible conduct is reported. Country does not yet have sustained academic training in institutions proportionate to the assessed risks, including training those who maintain or work with high-consequence agents"
Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	3	"Country has training programmes in place proportionate to the assessed risks, staff roles and responsibilities, and has begun implementation. Country has specific training programmes in place at most facilities housing or working with high-consequence agents. Training on biosafety and biosecurity has been provided to staff at some, but not all, facilities that maintain or work with high-consequence agents. Country is developing sustained academic training proportionate to the assessed risks, including the one for those who maintain or work with high-consequence agents. All training is aligned with incumbent’s role and responsibilities"
Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	4	"Country has training programmes in place at all facilities and staff trained proportionate to the assessed risks, roles and responsibilities, including those that house or work with high-consequence agents. Country has in place academic training proportionate to the assessed risks, including institutions that train those who maintain or work with high-consequence agents"
Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	5	"Country has sustainable training programmes included into university/ college curricula of pre-service training and into continuing education programmes. Staff competence is assessed, and exercises are conducted periodically. Country has funding and capacity to sustain all of the above. A review of training needs assessment is conducted periodically and refresher training on identified needs areas are conducted. Training on emergency response procedures is provided periodically"
Prevent	P.8 Immunization	P8.1. Vaccine’s coverage (measles) as part of national programme	1	"Less than 50% of the country’s 12-month-old population has received at least one dose of MCV, as demonstrated by coverage surveys or administrative data. Plan is in place to improve coverage, including supplemental immunization activities"
Prevent	P.8 Immunization	P8.1. Vaccine’s coverage (measles) as part of national programme	2	"50–69% of the country’s 12-month-old population has received at least one dose of MCV, as demonstrated by coverage surveys or administrative data. Plan is in place to achieve 90% coverage within the next five years and include supplemental immunization activities"
Prevent	P.8 Immunization	P8.1. Vaccine’s coverage (measles) as part of national programme	3	"70–89% of the country’s 12-month-old population has received at least one dose of MCV, as demonstrated by coverage surveys or administrative data. Plan is in place to achieve 95% coverage within the next three years"
Prevent	P.8 Immunization	P8.1. Vaccine’s coverage (measles) as part of national programme	4	"90% of the country’s 12-month-old population has received at least one dose of MCV, and the trajectory of progress, plans and capacities are in place to achieve 95% coverage by 2030. More than 90% of all intermediate (districts/ provinces or states) units are covered"
Prevent	P.8 Immunization	P8.1. Vaccine’s coverage (measles) as part of national programme	5	"95% of the country’s 12-month-old population has received at least one dose of MCV, as demonstrated by coverage surveys or administrative data; or 90% of the country’s 12-month-old population has received at least one dose of MCV and the trajectory of progress, plans and capacities are in place to achieve 95% coverage by 2030"
Prevent	P.8 Immunization	P8.2. National vaccine access and delivery	1	"No plan is in place for nationwide vaccine delivery, nor have plans been drafted to provide vaccines throughout the country to target populations. Inadequate vaccine procurement and forecasting lead to regular stock-outs at the central and district levels"
Prevent	P.8 Immunization	P8.2. National vaccine access and delivery	2	"Implementation has begun to maintain a cold chain for vaccine delivery but is available in fewer than 40% of districts in the country, or vaccine delivery (maintaining cold chain) is available to less than 40% of the target population in the country. Inadequate vaccine procurement and forecasting lead to regular stock-outs at the central and district levels"
Prevent	P.8 Immunization	P8.2. National vaccine access and delivery	3	"Implementation has begun to maintain a cold chain for vaccine delivery but is available in fewer than 40% of districts in the country, or vaccine delivery (maintaining cold chain) is available to less than 40% of the target population in the country. Inadequate vaccine procurement and forecasting lead to occasional stock-outs at central and district levels. Vaccine procurement and forecasting lead to no stock-outs of vaccines at central level and occasional stock-outs at district level"
Prevent	P.8 Immunization	P8.2. National vaccine access and delivery	4	"Vaccine delivery (maintaining cold chain) is available in 60–79% of districts within the country or vaccine delivery (maintaining cold chain) is available in 60–79% of the target population in the country. Functional vaccine procurement and forecasting take into account global stocks, lead to no stock-outs at the central level and rare stock-outs at the district level that are within their control"
Prevent	P.8 Immunization	P8.2. National vaccine access and delivery	5	Vaccine delivery (maintaining cold chain) is available in greater than 80% of districts within the country or vaccine delivery (maintaining cold chain) is available to more than 80% of the national target population. Systems to reach marginalized populations using culturally appropriate practices are in place. Vaccine delivery has been tested through a nationwide vaccine campaign or functional exercise. Functional procurement and vaccine forecasting results in no stock-outs
Prevent	P.8 Immunization	P8.3. Mass vaccination for epidemics of VPDs	1	"National plan for mass vaccination response to epidemics outbreaks of VPDs, including national guidelines for regulatory approval and acquisition of new and experimental vaccines, is not available or under development"
Prevent	P.8 Immunization	P8.3. Mass vaccination for epidemics of VPDs	2	"National plan for mass vaccination response to outbreaks of VPDs, including national guidelines for regulatory approval and acquisition of new and experimental vaccines, has been developed"
Prevent	P.8 Immunization	P8.3. Mass vaccination for epidemics of VPDs	3	"National plan for mass vaccination response to outbreaks of VPDs, including national guidelines for regulatory approval and acquisition of new and experimental vaccines, and relevant SOPS are disseminated and implemented at the national level"
Prevent	P.8 Immunization	P8.3. Mass vaccination for epidemics of VPDs	4	"National plan for mass vaccination response to outbreaks of VPDs, including national guidelines for regulatory approval and acquisition of new and experimental vaccines, and relevant SOPS are disseminated and implemented at all levels (i.e., national , intermediate and local)"
Prevent	P.8 Immunization	P8.3. Mass vaccination for epidemics of VPDs	5	"National plan and relevant SOPs for mass vaccination response have been applied against at least one epidemic of VPD in the country; national guidelines for regulatory approval and acquisition of new and experimental vaccines have been utilized in a real event or SimEx, and the plan and SOPs are assessed, tested and updated regularly"
