category_sloan	category	subcategory	unit_cost	description	default_value	currency	unit	assumption	URL
Operating	Operating costs	"Media expenses, including printed materials"	Small print job	Cost per small print job (approximately 25 pages)	4	USD (2022)	per copy	$4 USD for 25 pages A4 size. Based on high-end estimates for black and white printing. 	https://www.ryteprint.com/cash-wrappers/
Operating	Operating costs	"Media expenses, including printed materials"	Large print job	Cost per large print job (approximately 100 pages)	16	USD (2022)	per copy	$16 USD for 100 pages A4 size. Based on high-end estimates for black and white printing.	https://www.ryteprint.com/cash-wrappers/
Operating	Operating costs	Salary support and overhead	Cellular phone (per person)	Cost of a mobile phone	340	USD (2022)	per phone	Average cost September 2022 in Nigeria	https://nigerianprice.com/slot-nigeria-price-list/
Operating	Operating costs	Salary support and overhead	Cellular and data plan (per person)	Cellular and data plan for mobile phone	1020	USD (2022)	per phone per year	Based on a 12 month plan with 6gb data and 150 voice minutes. 	https://www.mtn.ng/device-financing/
Operating	Operating costs	Salary support and overhead	Laptop with office software	Laptop computer with standard office productivity software	900	USD (2022)	per system	MS Office $320 + average laptop $580. Rounded to nearest hundred.	https://www.microsoft.com/en-ng/microsoft-365/p/office-home-business-2021/cfq7ttc0hpn4
Operating	Physical infrastructure	Office space	Office cost per square meter (to lease)	Cost of leasing office space per square meter	240	USD (2022)	per square meter per year	"According to Broll Property Services, the ideal average rent in core markets including Lagos was between US$50 to US$80/m² per month in 2016 but is now at a 16% decline over a 6-year period. Even worse, outside Lagos, rentals in less prime locations, previously reported to be within $35-$50/sqm/month before 2016 currently average at $20/sqm/month."	https://buyletlive.com/blog/why-repurposing-assets-is-now-a-major-need-in-nigerias-real-estate-market
Operating	Physical infrastructure	Office space	Office cost per square meter (to buy)	Cost of purchasing office space per square meter	2250	USD (2022)	per square meter	Based on the average listing of a property in Nigeria	https://nigeriapropertycentre.com/for-sale/commercial/offices/showtype
Operating	Physical infrastructure	Office space	Computer server system	"Cost of a single computer server system, per year"	7000	USD (2022)	per system per year	Based on the estimated size of an AWS instance to manage 200 GB of data	"Amazon Web Services. (2022, November 18). AWS Pricing Calculator. AWS Pricing Calculator. Retrieved November 18, 2022, from https://calculator.aws/#/estimate"
Operating	Digital infrastructure	Data analysis and analytics infrastructure	Specialized computer software license	Annual fee for specialized commercial computer software (cost per license)	900	USD (2022)	per year	"Cost of a Matlab license is $900/year, though license costs can vary dramatically across platforms (e.g., Chemdraw is significantly lower, around $70/year, and SAS is significantly higher, sometimes over $4,000/year). Estimate of $900 chosen as a mid-range order of magnitude estimate."	https://www.mathworks.com/pricing-licensing.html
Operating	Physical infrastructure	Warehouses or storage facilities	"Annual lease costs for a 1,000- 2,000 sq. meter storage facility"	"Annual leasing costs for 1,000 sq. meter national storage facility, for example, for the national stockpile"	64000	USD (2022)	per facility	"Cost estimated based on the list cost of a 2,000 m^2 warehouse with office space in Lagos as of October 2022 with 4 toilets and 10 parking spaces, listed at 28,000,000 NGN per annum. Default cost estimate rounded to the nearest thousand dollar."	https://nigeriapropertycentre.com/for-rent/commercial/warehouses/serviced/lagos/showtype
Operating	Physical infrastructure	Warehouses or storage facilities	"Purchase cost for 1,000- 2,000 sq. meter storage facility"	Cost to purchase national stockpile storage facility (cost per facility)	2000000	USD (2022)	per facility	"Cost estimated based on the list cost of a 2,000 m^2 warehouse with office space in Nigeria as of October 2022. Nigeria Property Centers reports that ""The most expensive warehouse costs 7,000,000,000 NGN while the cheapest costs 316,000,000 NGN."" Results rounded to the nearest thousands of dollars, we assume a mid-costed warehouse of approximately 900,000,000 NGN."	https://nigeriapropertycentre.com/for-rent/commercial/warehouses/serviced/lagos/showtype
Operating	Medical countermeasures and supplies for healthcare delivery	Medical countermeasures	Medical countermeasures stockpile kit (cost per capita)	Medical countermeasures stockpile kit (cost per capita)	1.82	USD (2022)	per capita	Annual per capita stockpile cost estimated based on 2019 (pre-COVID) appropriations for US strategic national stockpile (approximately $600M). $600M/330M US population corresponds to estimated cost of $1.82 per capita	United States Government Accountability Office. HHS Should Address Strategic National Stockpile Requirements and Inventory Risks [Internet]. 2022 [cited 2022 Dec 2]. Available from: https://www.gao.gov/assets/gao-23-106210.pdf
Transport	Civil infrastructure	Transportation and transport fees 	Vehicle	"Cost of a single transport vehicle or delivery truck, stocked with a first aid kit"	21078	USD (2022)	per vehicle	"Based on data from 2017 Nigerian Budget Proposal that identified a cost of 9,000,000 Naira for a ""project vehicle for research and development"" Adjusted to 2022 USD based on a conversion rate of 427.60 Naira/1 USD // Alternate assumption in line with default assumption: Sierra Leone costed NAPHS estimates cost of approximately 19,000 USD for a vehicle, assuming exchange rate of approximately 0.000059 SLL/USD (page 109, note that 16 vehicles are costed in single line); assume all vehicles are stocked with a $30 first aid kit"	"Federal Government of Nigeria. Appropriation Bill, 2017 [Internet]. 2017 [cited 2022 Dec 2]. Available from: yourbudgit.com/wp-content/uploads/2016/12/2017-Budget-Proposal-to-NASS.pdf"
Transport	Civil infrastructure	Transportation and transport fees 	Motorcycle/motorbike	"Cost of a single motorcycle or motorbike, stocked with a first aid kit"	615	USD (2022)	per vehicle	"Based on data from 2017 Nigerian Budget Proposal that identified a cost of 101,601,666 Naira to purchase one motorcycle for each of 406 LGAs (page 975). Adjusted to 2022 USD based on a conversion rate of 427.60 Naira/1 USD // 101601666/406/427.60 + 30 ; assume all vehicles are stocked with a $30 first aid kit"	"Federal Government of Nigeria. Appropriation Bill, 2017 [Internet]. 2017 [cited 2022 Dec 2]. Available from: yourbudgit.com/wp-content/uploads/2016/12/2017-Budget-Proposal-to-NASS.pdf"
Operating	Digital infrastructure	Data analysis and analytics infrastructure	Inventory management system	"Cost of an inventory management system and necessary software, per facility"	45000	USD (2022)	per system	"Based on estimated one-time cost of ABECAS 3PL Warehouse Management Software, assuming 3 users per facility (3*15000); In line with these estimates, Crowdbiotics software company estimates that ""An inventory management app usually costs $30,000 to build. However, the total cost can be as low as $20,000 or as high as $50,000. """	https://www.capterra.com/p/43089/ABECAS-Insight-WMS/#reviews
Operating	Medical countermeasures and supplies for healthcare delivery	Medical countermeasures	Vaccine	Approximate cost of single measles vaccine dose including syringe	1	USD (2022)	per vaccine	"Estimate based on vaccine data pricing from UNICEF in 2022 based on multi-year supply agreements, with per vaccinated person costs ranging from $0.26 (P.T. Bio Farma, measles vaccine) to $4.47 (GlaxoSmithKline Biologicals S.A., MMR vaccine); Researchers at the University of Pennsylvania also estimate a cost of $1/measles vaccine dose including delivery costs https://www.impact.upenn.edu/child-survival-guidance-for-donors/invest-in-childhood-vaccination-programs/; note that neither of the estimates referenced here include the cost of a full vaccine course, simply the per dose cost"	https://www.unicef.org/supply/vaccines-pricing-data?page=%2C1#listAnchor
Operating	Physical infrastructure	Laboratories and laboratory equipment	Laboratory refrigerator	"Cost a single small to medium-sized refrigerator for use in laboratory storage of supplies, reagents, vaccines; costed example is Fisherbrand™ Isotemp™ General Purpose Laboratory Refrigerators"	5920	USD (2022)	per refrigeration system	Estimate based on cost of supplies from Fisher Scientific	https://www.fishersci.com/shop/products/isotemp-general-purpose-laboratory-refrigerators-17/p-7139516#?keyword=refrigerator
Operating	Digital infrastructure	Internet and cellular service	Office broadband internet and cellular data plan	Cost per office for shared office internet and cellular data plan	2400	USD (2022)	per office	"Internet costs can vary wildly, tool estimates based on the cost of enterprise Wifi in Liberia  for several people"	https://isp.today/en/list-of-all-services/LIBERIA
Operating	Physical infrastructure	Laboratories and laboratory equipment	Radiation alarm	Cost of a radiation alarm	475	USD (2022)	per alarm	Based on cost of  Radiation Alert Sentry personal radiation rate meter and dosimeter with alarms as of October 2022. Data from https://www.coleparmer.com/i/radiation-alert-sentry-ec-personal-raditation-rate-meter-and-dosimeter-with-alarms/8191026. Value of 476.70 was rounded to 475.	https://www.coleparmer.com/i/radiation-alert-sentry-ec-personal-raditation-rate-meter-and-dosimeter-with-alarms/8191026
Operating	Physical infrastructure	Laboratories and laboratory equipment	Geiger counter	Cost of a Geiger counter	1182	USD (2022)	per counter	"Geiger counter for alpha, beta and gamma radiation. https://nigeria.desertcart.com/products/53414783-gq-gmc-600-plus-geiger-counter-radiation-detector-dosimeter-alpha-beta-gamma-x-ray"	 https://nigeria.desertcart.com/products/53414783-gq-gmc-600-plus-geiger-counter-radiation-detector-dosimeter-alpha-beta-gamma-x-ray
Operating	Physical infrastructure	Laboratories and laboratory equipment	Air monitoring station	"Cost of a stationary air monitoring station (e.g., to monitor for toxic chemicals)"	7000	USD (2022)	per sensor	"Sierra Leone costed NAPHS estimates cost of approximately 7000 USD for a stationary specialized air monitoring station, assuming exchange rate of approximately 0.000059 SLL/USD (page 159, note that 15 monitors are costed in single line)"	N/A
Operating	Physical infrastructure	Laboratories and laboratory equipment	Water monitoring station	 Cost of a specialized water monitoring station for toxic chemicals	8700	USD (2022)	per sensor	"Sierra Leone costed NAPHS estimates cost of approximately 8700 USD for a stationary water air monitoring station, assuming exchange rate of approximately 0.000059 SLL/USD (page 159, note that 15 monitors are costed in single line)"	N/A
Operating	Physical infrastructure	Laboratories and laboratory equipment	Mass spectrometer	Cost of a commercial mass spectrometer	400000	USD (2022)	per machine	Anecdotal evidence of the cost of a new quadrupole MS. https://cen.acs.org/policy/Its-not-the-scientific-instrument-asked-it-asked-for/97/i33	https://cen.acs.org/policy/Its-not-the-scientific-instrument-asked-it-asked-for/97/i33
Operating	Physical infrastructure	Laboratories and laboratory equipment	Backup generator	Cost of a commercial backup generator	2300	USD (2022)	per generator	"Cost of portable gas generator (28,000 peak-Watt and 20,000 running-Watt)"	
Operating	Digital infrastructure	Data analysis and analytics infrastructure	Chemical information database annual subscription fee	Cost of an annual subscription fee for a chemical information database for an office	6500	USD (2022)	per year	Based on the estimated annual cost for SciFinder.	
Operating	Physical infrastructure	Laboratories and laboratory equipment	Portable chemical alarm systems	"Cost of a handheld multi-gas detector to test equipment, facilities, and other environments for leaking gas that could be harmful or toxic"	6940	USD (2022)	per device	"Based on the cost of a Honeywell multi-gas detector capable of detecting ammonia, chlorine, oxygen, and and hydrogen cyanide with 12 hour battery life, LCD display, and alarm system (https://www.grainger.com/product/HONEYWELL-Multi-Gas-Detector-Ammonia-499A19)"	
Operating	Medical countermeasures and supplies for healthcare delivery	Personal protective equipment	Personal protective equipment (PPE)	"Cost per-day for basic personal protective equipment for healthcare, animal health, or agricultural workers, including gloves, eye shields, boot covers, and face masks"	19.7	USD (2022)	per set	"Based on results from Bosara et al's analysis of market prices from major commercial distributors in Kenya, PPE costs expected to vary from country-to-country. Barasa E, Kairu A, Ng’ang’a W, Maritim M, Were V, Akech S, et al. Examining unit costs for COVID-19 case management in Kenya. BMJ Global Health. 2021 Apr 1;6(4):e004159.  See prices below.  N95 Masks: 495 KES Tyvek Suits: 1500 KES Surgical Gowns: 421 KES Nitrile Gloves: 13.2 KES Latex Gloves: 9.35 KES Disposable Head: 5.50 KES Shoe Covers: 17 KES Surgical Masks: 22 KES Face Shields: 165 KES Goggles Piece 440 KES  2 gowns/shift * 421 KES/gown + 2 N95 masks/shift * 495 KES/mask + 2 shoe covers/shift * 17 KES/shoe cover 1 face shield/shift * 165/shift 8*4 nitrile glove pairs/shift * 13.2 KES/pair (assume 4 pairs per hour, 8 hour shift) + Assume exchange rate of: 123.05 KES/USD based on data as of December 16 2022 (2*421 + 2*495 + 2*17 + 165 + 8*4*12.3 )/123.05"	
Operating	Medical countermeasures and supplies for healthcare delivery	Personal protective equipment	Chemical personal protective equipment (PPE)	"Cost for basic chemical PPE, including a hooded coverall, wraparound protective goggles, and slip resistant shoe covers"	26	USD (2022)	per set	"$418.65 for a package of 25 Dupont Hooded Coveralls: Tyvek® 800, Medium Duty, Taped Seam, White, M, 25 PK; $8.12 for wraparound protective goggles; $264.68 for a package of 200 slip resistant shoe covers (418.65/25 + 8.12 + $246.68/200), rounded to the nearest full dollar"	
Operating	Medical countermeasures and supplies for healthcare delivery	Personal protective equipment	Self-contained breathing apparatus	Cost of self-contained breathing apparatus for protection from fallout hazard (cost per apparatus)	2500	USD (2022)	per apparatus	"Based on costs of NIOSH certification list for self-Contained Breathing Apparatus approved for protection against Chemical, Biological, Radiological, and Nuclear (CBRN) agents, 3M Scott Fire & Safety AirPak 4.5 listed at  $2,765.84 USD, Honeywell North Panther listed at $1,170.95 USD, and Drager PSS 7000 listed at $3,409.00. Given variation in price points, assume a $2,500 cost."	
Operating	Physical infrastructure	Laboratories and laboratory equipment	Biometric lock system	Cost of a biometric lock system	390	USD (2022)	per lock system	Based on a digit biometric lock for a door. https://www.jumia.com.ng/zk-teco-bluetooth-id-card-biometrics-keypad-smart-door-lock-al30b-65697446.html	
Operating	Medical countermeasures and supplies for healthcare delivery	Basic supplies for outbreak investigation and response 	"Disinfection, decontamination, and vector control kit"	"Cost of a basic disinfection, decontamination, and vector control kit, including sodium hypochlorite solution 4-6% (4L), calcium hypochlorite powder 70%, LYSOL disinfectant cleaner (3.8L),  Permethrin EC (10% solution), Brodifacoum (Rodenticide) (0.2 g/kg pellets), Bromadiolone (Rodenticide) (0.005% block bait); Isopropyl alcohol solution; 70% and  Antiseptic Liquid Soap"	600	USD (2022)	per kit	See full costing details in Appendix costing tab; value rounded to the nearest full 10 USD.	
Operating	Medical countermeasures and supplies for healthcare delivery	Basic supplies for outbreak investigation and response 	Specimen collection kit	"Cost of a basic specimen collection kit, pens, pencils, erasers, notebooks, labels, goggles, face masks, face shield, sterile gauze swabs, disinfecting swabs, universal containers, packaging for infectious substances, and hand sanitizer"	400	USD (2022)	per kit	See full costing details in Appendix costing tab; value rounded to the nearest full 10 USD.	
Operating	Medical countermeasures and supplies for healthcare delivery	Basic supplies for outbreak investigation and response 	Outbreak investigation kit	"Cost of a well-stocked outbreak investigation kit including basic consumables (labels, markers, notebook, thermometer, flashlight and batteries), specimen collection materials (sterile gauze, alcohol swabs, microscope slides), specimen collection materials (blood, respiratory, CSF, urine, and stool-related collection materials), specimen transport materials (carriers, icepacks, tube racks, insulated shipping materials), and PPE (surgical gowns, face masks, surgical caps, rubber boots, disposable gloves)"	16000	USD (2022)	per kit	See full costing details in Appendix costing tab; value rounded to the nearest full 100 USD. Market value of the entire inventory of items identified in Communicable disease control in emergencies – A field manual (2005).	
Operating	Civil infrastructure	Transportation and transport fees 	Combination packaging for infectious substances	"Complete combination packaging for infectious substances, BIOPACK 2 with 1.5-litre BIOJAR (pack of 12), UN certified (4G or 4GU /Class 6.2) for high consequence infectious substances in Division 6.2"	490.03	USD (2022)	per pack of 12	Communicable disease control in emergencies – A field manual (2005); cost online is $490.03 /pack of 12	https://www.fishersci.com/shop/products/biopack-2-1/501534815
Operating	Medical countermeasures and supplies for healthcare delivery	Personal protective equipment	Biosafety incident and emergency response kit	"Biosafety incident and emergency response kit for use in laboratories to include emergency shower, emergency eyewash stations, first aid kit, spill kit, PPE (gloves, goggles, hazmat suits, masks), disinfectant (5% bleach solution), leak-proof waste disposal containers, pens, notepads, printed copy of SOPs and medical advice in case of spills"	5200	USD (2022)	per kit	See full costing details in Appendix costing tab; value rounded to the nearest full 100 USD. Market value of the entire inventory of items identified in  WHO Biosafety Lab Manual (referenced by JEE as minimal/best practice) for emergency/incident response	N/A
Operating	Medical countermeasures and supplies for healthcare delivery	Basic supplies for outbreak investigation and response 	Simple first aid kit	"Cost of a simple first aid kit including aspirin, ibuprofen, exam gloves, cold compress, adhesive bandages, butterfly wound closures, gauze pads, alcohol cleansing wipes, antiseptic towelettes, antibiotic ointment packets, scissors, one-time use thermometer, finger split, sterile eye pad, emergency blanket, and tweezers"	30	USD (2022)	per kit	https://www.redcross.org/store/deluxe-all-purpose-first-aid-kit/711442.html?cgid=first-aid-supplies#start=12&cgid=first-aid-supplies	
Transport	Civil infrastructure	Transportation and transport fees 	Vehicle - ambulance	Cost of a single ambulance equipped for patient transport	58466	USD (2022)	per vehicle	"Based on data from 2017 Nigerian Budget Proposal that identified a cost of 25,000,000 Naira ""procurement of an ambulance"" (pg 945). Adjusted to 2022 USD based on a conversion rate of 427.60 Naira/1 USD // Reference: yourbudgit.com/wp-content/uploads/2016/12/2017-Budget-Proposal-to-NASS.pdf; alternate estimates by Hofman et al estimated ambulance costs in Malawi as $48,325 (2018 USD) or $64,366.48 (2022 USD) for a Toyota land cruiser ambulance https://www.sciencedirect.com/science/article/abs/pii/S0020729208001550"	
Transport	Civil infrastructure	Transportation and transport fees 	Vehicle maintenance - ambulance	Annual maintenance fee for a single ambulance equipped for patient transport	10215	USD (2022)	per vehicle	"Hofman et al estimated a cost of $6362 (2001 USD) for annual ambulance maintenance and repair for a Toyota land cruiser ambulance in Malawi, adjusted for inflation based on US Consumer Price Index"	
Operating	Digital infrastructure	Internet and cellular service	Landline telephone	Cost of landline telephone	62	USD (2022)	per landline	https://www.jumia.com.ng/imose-im-10i-desktop-phone-with-4g-lte-and-wifi-36172803.html	
Operating	Operating costs	Office materials	Fax machine	Cost of a fax machine	380	USD (2022)	per fax machine	Based on all-in-all high-end fax machine. https://jiji.ng/kaduna-north/printers-and-scanners/hp-pro-m137fnw-fax-network-wireless-mfp-laserjet-printer-gqwGoBGScq31xuD9aD60WSw3.html?page=1&pos=4&cur_pos=4&ads_per_page=4&ads_count=4&lid=zP_0PdEFHtrbfyN1	
Operating	Operating costs	Office materials	Printer / Copier	Cost of a combined printer and copier	325	USD (2022)	per printer / copier	Based on all in all office printer. https://www.jumia.com.ng/hp-officejet-pro-9013-all-in-one-colored-printer-62858580.html	
Operating	Physical infrastructure	Healthcare facilities	Airborne infection isolation room	"Cost of a constructing a permanent, single airborne infection isolation room"	10000	USD (2022)	per room	"We estimate a default cost of $10,000 to construct a permanent airborne isolation room, acknowledging that significant variability exists in this space. Subhash et al cite a cost of $5,000-$20,000 to construct anterooms (rooms adjacent to airborne infection isolation rooms), Mead et al reference a cost of less than $2,300 to construct airborne infection isolation areas using a commercially available portable filtration unit and common hardware supplies.  Subhash et al: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7135637/ Mead et al: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7124192/"	
Operating	Digital infrastructure	Data analysis and analytics infrastructure	Standard software license	Cost of software license (cost per license)	69.99	USD (2022)	per license per year	https://www.microsoft.com/en-us/microsoft-365/buy/compare-all-microsoft-365-products	
Operating	Media fees	Airtime or publication fees	National television airtime (per 1-minute message)	Cost of one minute national television airtime	2385	USD (2022)	per 1-minute message	Based on 1 minute of news line for NTA. http://allnetts.com/Television%20Stations/NTA%20Network.php	
Operating	Media fees	Airtime or publication fees	National radio airtime (per 1-minute message)	Cost of one minute national radio airtime	44	USD (2022)	per 1-minute message	"Cost of 1 min radio spot, different cost for a program. https://alternativeadvert.com/blog/radio-adverts-rates-lagos-nigeria/"	
Operating	Media fees	Airtime or publication fees	1/4-page advertisement in national newspaper (per day)	Cost of 1/4 page newspaper advertisement	344	USD (2022)	per ad per day	"Cost per day for the newspaper ""Punch"". https://punchng.com/advert-rates/"	
Operating	Digital infrastructure	Computing resources	Website hosting service	Cost to host web page	1500	USD (2022)	per year	"Cost to host a website serving large audience on a cloud-hosting service per year, https://ebrandpromotion.com/web-design-cost-in-nigeria/ "	
Operating	Digital infrastructure	Computing resources	Website domain registration	Cost to buy and register a website domain name	35	USD (2022)	per domain per year	Cost per year for a domain name ending in .ng https://ebrandpromotion.com/web-design-cost-in-nigeria//	
Operating	Workforce	Trainings	Epidemiology training consumables	Cost of epidemiology training consumables (cost per person)	21497.95	USD (2022)	per trainee per year	See detailed costing spreadsheet for more details.	
Operating	Medical countermeasures and supplies for healthcare delivery	Basic supplies for outbreak investigation and response 	Cooler with ice packs	Cost of a cooler and two reusable ice packs	45	USD (2022)	per cooler	"Cost of 38 qt wheeled cooler from Home Depot in 2022, assuming two additional dollars for ice packs. https://www.homedepot.com/p/IGLOO-Wheelie-Cool-Cooler-38-qt-Blue-8266793/314903887?#overlay"	
Operating	Physical infrastructure	Laboratories and laboratory equipment	Microscopy and bacterial culture capability start-up costs	"Start-up costs for lab infrastructure required for microscopy and bacterial culture, including incubators, colony counters, blood culture system, fluorescence microscope"	550011.28	USD (2022)	per facility	See detailed costing spreadsheet for more details.	
Operating	Physical infrastructure	Laboratories and laboratory equipment	Microscopy and bacterial culture capability annual upkeep costs	"Recurring costs for ongoing microscopy and bacterial culture capabilities, including growth and selective media plates, microscope slides, and stains"	284523.5	USD (2022)	per facility per year	"Sierra Leone costed NAPHS estimates cost of approximately 66,000 USD for ""essential equipment, reagents, supplies and consumables for AMR lab surveillance"", assuming exchange rate of approximately 0.000059 SLL/USD (page 80)"	
Operating	Physical infrastructure	Laboratories and laboratory equipment	"Virus culture, serology, and PCR capability start-up costs"	"Start-up costs for lab infrastructure required for virus culture, serology, and PCR, including ABI 3500 Genetic Analyzer, thermocycler, and ELISA system"	821421.64	USD (2022)	per facility	See detailed costing spreadsheet for more details.	
Operating	Physical infrastructure	Laboratories and laboratory equipment	"Virus culture, serology, and PCR capability annual upkeep costs"	"Recurring costs for ongoing virus culture, serology, and PCR capabilities, including PCR reagent kit, microcentrifuge tubes, ELISA reagents, and materials for virus culture"	894647.8	USD (2022)	per facility per year	See detailed costing spreadsheet for more details.	
Operating	Physical infrastructure	Laboratories and laboratory equipment	National laboratory facility start-up costs	"Start-up costs for national laboratory facility, including water purification systems, industrial freezers, autoclaves, centrifuges, and other laboratory supply materials"	2000000	USD (2022)	per facility	"Sierra Leone costed NAPHS estimates cost of approximately 2,000,000 USD to construct a laboratory over two years, assuming exchange rate of approximately 0.000059 SLL/USD (page 161)"	
Operating	Physical infrastructure	Laboratories and laboratory equipment	National laboratory facility annual upkeep costs	"Annual upkeep costs for national laboratory facility, including maintenance of equipment, gloves, and shoe covers (excludes cost of specialized laboratory equipment maintenance)"	109148.6	USD (2022)	per facility per year	See detailed costing spreadsheet for more details.	
Operating	Medical countermeasures and supplies for healthcare delivery	Basic supplies for outbreak investigation and response 	Malaria rapid diagnostic tests	Cost of single point-of-care test for malaria	0.6	USD (2022)	per test	Based on estimates from the UNICEF supply catalogue of Bioline Malaria Ag P.f/P.v with 25 tests ($15/25 tests). https://supply.unicef.org/s0004038.html	
