metric_id	metric	pillar	capacity	indicator	score	attribute
JEE3.P3.1.1	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	1	"The terms of reference describing the roles and responsibilities of the established National IHR Focal Point are not in place or under development and represented by one individual who is entirely familiar with the mandatory NFP functions under the IHR but lacks the authority, capacity and resources to effectively carry out these functions, including the around-the-clock availability"
JEE3.P3.1.2	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	2	"National IHR Focal Point is a designated centre and has a duty officer system to ensure availability at all times for urgent communications with WHO but legal, normative and institutional instruments and arrangements, including terms of reference describing the roles and responsibilities, are insufficient to communicate effectively with all levels and relevant sectors of the State Party’s administration"
JEE3.P3.1.3	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	3	"National IHR Focal Point is a designated centre and has a clear legal and governmental mandate, with terms of reference describing the roles and responsibilities, is sufficiently organized, resourced and available at all times to communicate with WHO, but intersectoral collaboration and communication is inadequate to consolidate surveillance information or to obtain clearance from decision-makers in other domestic sectors"
JEE3.P3.1.4	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	4	"National IHR Focal Point is a centre sufficiently organized, resourced and positioned within the government with levels of authority and institutional arrangements and instruments to access the relevant information sources and decision-making level within the national surveillance and response system"
JEE3.P3.1.5	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.1. National IHR Focal Point functions	5	"National IHR Focal Point is a centre appropriately organized, positioned, trained and equipped with adequate levels of authority, efficient communication channels as well as administrative, human, technological, and financial resources to meaningfully engage with all relevant sectors and carry out the function as by IHR provisions and its functioning is exercised, reviewed, evaluated and updated on a regular basis and actions have been taken to strengthen and maintain its capacities"
JEE3.P3.2.1	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	1	Multisectoral coordination mechanisms for IHR implementation are not in place or under development. Multisectoral coordination activities occur in ad hoc basis
JEE3.P3.2.2	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	2	Multisectoral coordination mechanisms for IHR implementation are developed but not disseminated. Multisectoral coordination activities occur in ad hoc basis
JEE3.P3.2.3	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	3	"Multisectoral coordination mechanisms for IHR implementation are in place, disseminated and are being implemented at the national level"
JEE3.P3.2.4	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	4	"Multisectoral coordination mechanisms for IHR implementation are in place, disseminated and are being implemented at national and intermediate levels"
JEE3.P3.2.5	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	P3.2. Multisectoral coordination mechanisms	5	"Multisectoral coordination mechanisms for IHR implementation are being implemented at all levels, and are exercised, reviewed, evaluated and updated on a regular basis"
JEE3.P3.3.1	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	1	"A national action plan for IHR, preparedness or health security is not available or is under development"
JEE3.P3.3.2	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	2	"A national action plan for IHR, preparedness or health security is developed but not being implemented"
JEE3.P3.3.3	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	3	"A national action plan for IHR, preparedness or health security is developed and being implemented, but there is no routine monitoring or updating of activities. Decision-makers in government and/or legislative bodies at the national level are sensitized to IHR and/or health security on an ad hoc basis"
JEE3.P3.3.4	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	4	"A national action plan for IHR, preparedness or health security is implemented, activities include multiple sectors and activities are monitored and updated in the last two years. The plan and activities are updated based on assessments of capacity, such as the JEE or SPAR Decision-makers in government and/ or legislative bodies at the national level are sensitized and systematically engaged in IHR, the national plan for IHR, and health security issues"
JEE3.P3.3.5	JEE (3.0)	Prevent	"P.3 IHR Coordination, National IHR Focal Point Functions and Advocacy"	"P3.3. Strategic planning for IHR, preparedness or health security"	5	"A national action plan for IHR, preparedness or health security is implemented, activities are monitored and updated at least annually based on a risk assessment, exercises (e.g., Simulation Exercise (SimEx20)) and lessons learned from real-world events (e.g., IARs or AARs). Decision-makers in government and/or legislative bodies at the national and intermediate levels are sensitized to and systematically engaged in IHR, the national plan for IHR, and health security issues"
JEE3.P4.1.1	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	1	No multisectoral national action plan for AMR and no formal multisectoral governance or coordination mechanism on AMR exists
JEE3.P4.1.2	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	2	"Multisectoral national AMR action plan under development; multisectoral coordination mechanism has been established, with government leadership"
JEE3.P4.1.3	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	3	Multisectoral national AMR action plan developed; multisectoral coordination mechanism is functional with clear terms of reference and regular meetings
JEE3.P4.1.4	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	4	"Multisectoral national AMR action plan approved and reflects GAP objectives, with a costed operational plan being implemented"
JEE3.P4.1.5	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.1. Multisectoral coordination on AMR	5	"Multisectoral national AMR action plan has identified funding sources, is being implemented and has monitoring in place, and is updated and evaluated regularly"
JEE3.P4.2.1	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	1	"No or limited capacity for generating, collating, and reporting data (antibiotic susceptibility testing and accompanying clinical and epidemiological data)"
JEE3.P4.2.2	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	2	"AMR data are collated locally for common pathogens in hospitalized and community patients, but data collection may not use a standard approach and lacks national coordination and/or quality management"
JEE3.P4.2.3	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	3	"AMR data are collated nationally for common pathogens, but national coordination and standardization are lacking"
JEE3.P4.2.4	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	4	"There is a standardized national AMR surveillance system collecting data on common pathogens in hospitalized and community patients, with an established network of surveillance sites, designated national reference laboratory for AMR and a national coordinating centre (NCC) producing reports on AMR"
JEE3.P4.2.5	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.2. Surveillance of AMR	5	"The national AMR surveillance system’s data is analysed, interpreted and reported together with antimicrobial consumption and/or use data for human health, and analysis of similar data across sectors (human and animal health and agriculture) is attempted"
JEE3.P4.3.1	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	1	"Priority multidrug resistant organism (MDRO) pathogens (phenotypes and genotypes) have not been identified by national authorities, and MDRO pathogens are not detected"
JEE3.P4.3.2	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	2	National strategy or guidance for multidrug resistant organism (MDRO) containment exists and includes colonization screening priority MDRO pathogens (phenotypes and genotypes) have been identified by national authorities. Some health facilities can detect priority MDRO pathogens based on laboratory data
JEE3.P4.3.3	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	3	Selected health facilities have access to multidrug resistant organism (MDRO) phenotype confirmation. Facilities notify national levels when priority MDRO pathogens are detected
JEE3.P4.3.4	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	4	All health facilities have access to multidrug resistant organism (MDRO) phenotype confirmation. Facilities notify national levels when priority MDRO pathogens are detected in a timely manner. Responses are tracked and supported at the national level
JEE3.P4.3.5	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.3. Prevention of multidrug resistant organism (MDRO)	5	"Functional system in place to rapidly communicate and track the detection, confirmation and notification of novel or priority multidrug resistant organisms (MDROs) within hospitals and to national levels. All hospitals are able to launch response activities to priority MDRO pathogens in a timely manner. Facilities regularly communicate pertinent MDRO data to local referral networks to inform prevention/ containment efforts"
JEE3.P4.4.1	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	1	"No or weak national policy and/or regulations on appropriate use, availability, quality and use of antimicrobials in human health"
JEE3.P4.4.2	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	2	National policy and regulations promoting appropriate antimicrobial use/antimicrobial stewardship activities are developed for the community and health care settings
JEE3.P4.4.3	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	3	"Guidelines for appropriate use of antimicrobials are available and antimicrobial stewardship programs are established in some health care facilities. The “Access, Watch and Reserve” (AWaRe) classification of antibiotics is adopted in the national essential medicines list"
JEE3.P4.4.4	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	4	Guidelines and practices to enable appropriate use of antimicrobials are implemented in health care facilities nationwide. Functioning AMR stewardship programs in all major health care facilities. Monitoring of antibiotic consumption is being performed and based on the AWaRe classification of antibiotics
JEE3.P4.4.5	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.4. Optimal use of antimicrobial medicines in human health	5	Guidelines on optimizing antibiotic use are implemented for all major syndromes and data on use is systematically fed back to prescribers. The AWaRe classification of antibiotics is incorporated into antimicrobial stewardship strategies. Robust national monitoring of antibiotic consumption is being performed
JEE3.P4.5.1	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	1	"No national policy or legislation regarding the quality, safety and efficacy of antimicrobial products and antimicrobial pesticides, and their distribution, sale or use in other sectors"
JEE3.P4.5.2	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	2	"National legislation covers some aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products and/or antimicrobial pesticides"
JEE3.P4.5.3	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	3	"National legislation covers all aspects of national manufacture, import, marketing authorization, control of safety, quality and efficacy and distribution of antimicrobial products and/or antimicrobial pesticides"
JEE3.P4.5.4	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	4	"The national regulatory framework for antimicrobial products and/or antimicrobial pesticides incorporates all the elements included in the related international standards on responsible and prudent use of antimicrobials (e.g., OIE Terrestrial and Aquatic Codes, Codex Alimentarius) according to animal species, plant type/species and/or production sector"
JEE3.P4.5.5	JEE (3.0)	Prevent	P.4 Antimicrobial Resistance (AMR)	P4.5. Optimal use of antimicrobial medicines in animal health and agriculture	5	Enforcement processes and control are in place to ensure compliance with legislation on the use of antimicrobial products and/or antimicrobial pesticides
JEE3.P5.1.1	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	1	"No agreed list of prioritized zoonotic diseases. Capacities for the surveillance of zoonotic diseases do exist but are not coordinated between the animal health, public health and environment sectors and exchange of information is on ad hoc basis"
JEE3.P5.1.2	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	2	"A list of priority zoonotic diseases has been agreed on between the animal health, public health and environment sectors. Coordination of surveillance activities between animal health, public health, and environmental sectors is informal, and limited to few diseases. Information sharing is not systematic"
JEE3.P5.1.3	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	3	"Coordination of surveillance activities for listed priority emerging and endemic zoonotic diseases is formalized between the animal health, public health and environment sectors at the national level, ensuring exchange of information, joint assessment of risks, using a One Health approach"
JEE3.P5.1.4	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	4	"Multisectoral surveillance systems for priority emerging and endemic priority zoonotic diseases are in place at the national level and formal coordination mechanisms between the animal health, public health and environment sectors are also established at intermediate levels, allowing the surveillance of the whole territory"
JEE3.P5.1.5	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.1. Surveillance of zoonotic diseases	5	"Coordinated surveillance of priority and emerging zoonotic diseases between animal health, public health and environment sectors is tested/assessed/reviewed and improved on a regular basis (annually)"
JEE3.P5.2.1	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	1	"Despite the existence of mechanisms for the response to certain specific diseases or pathogens, no coordination between the animal health, public health and environment sectors is organized for zoonotic diseases"
JEE3.P5.2.2	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	2	"Multisectoral national policy, strategy and/or plan for response to zoonotic events have been elaborated and are documented. Multisectoral contingency plans following a One Health approach have been developed for the most important endemic and epidemic zoonotic diseases"
JEE3.P5.2.3	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	3	"A multisectoral operational mechanism for coordinated response to out-breaks of endemic, emerging or re-emerging zoonotic diseases by human health, animal health and environment sectors is in place"
JEE3.P5.2.4	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	4	"Several experiences of response to zoonotic events confirm timeliness and efficiency of the multisectoral operational mechanism, including clear definition of roles, responsibilities and procedures between sectors in charge of domestic animal, wildlife, human health and other relevant sectors"
JEE3.P5.2.5	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.2. Response to zoonotic diseases	5	"The multisectoral operational mechanism for the response to outbreaks of endemic, emerging or re-emerging zoonotic diseases is regularly tested through exercises and/or real events and adjusted accordingly"
JEE3.P5.3.1	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	1	Systematic efforts to improve good sanitary practices in the breeding of terrestrial and aquatic animals and in the production of animal products are not actively promoted or are minimal
JEE3.P5.3.2	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	2	"Some activities are in place to develop and promote good sanitary practices in animal breeding and production of animal products, limiting the risks of transmission of zoonotic diseases"
JEE3.P5.3.3	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	3	"National plan for good practices in animal breeding and production of animal products, including sanitary practices, are established based on international standards (e.g., OIE Terrestrial and Aquatic Codes, Codex Alimentarius) and implemented. National guidelines for good production practices are developed, published, disseminated and adjusted for implementation from local farm to the trade of animal product level, limiting the risk of transmission of zoonotic diseases"
JEE3.P5.3.4	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	4	"Nationwide implementation of the national plan for good practices in animal breeding and production of animal products, including sanitary practices across all major animal value chains is ensured and prevent transmission of zoonotic diseases"
JEE3.P5.3.5	JEE (3.0)	Prevent	P.5 Zoontic Disease	P5.3. Sanitary animal production practices	5	"Periodic inspection, assessment and monitoring of practices in animal breeding and production of animal products are conducted in the main animal production value chains and the compliance with national guidance is constantly verified"
JEE3.P6.1.1	JEE (3.0)	Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	1	No or very limited surveillance system in place for foodborne diseases or food contamination (chemical and microbiological) monitoring
JEE3.P6.1.2	JEE (3.0)	Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	2	Country has IBS or EBS and monitoring systems in place to monitor and detect foodborne events (outbreak or contamination)
JEE3.P6.1.3	JEE (3.0)	Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	3	"IBS or EBS system includes laboratory analysis to assign etiology of foodborne diseases or origin of contamination event, and investigate hazards in foods linked to cases, outbreaks or events"
JEE3.P6.1.4	JEE (3.0)	Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	4	Country has capacity to undertake rapid risk assessments of acute foodborne events at the national and intermediate levels
JEE3.P6.1.5	JEE (3.0)	Prevent	P.6 Food Safety	P6.1. Surveillance of foodborne diseases and contamination	5	"Country has a surveillance system in place that integrates information from the entire food chain including timely and systematic information exchange, to enable a better understanding of risk and mitigation possibilities"
JEE3.P6.2.1	JEE (3.0)	Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	1	No or very limited response and management of food safety emergency mechanism is in place
JEE3.P6.2.2	JEE (3.0)	Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	2	Country has a national food safety emergency plan with food safety emergencies defined to serve as a trigger for escalating appropriate response
JEE3.P6.2.3	JEE (3.0)	Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	3	"Country has a national food safety emergency plan and a designated INFOSAN Emergency Contact Point, with a central coordination mechanism in place that includes all relevant sectors with functional arrangements in place for the implementation of response in the event of a food safety emergency"
JEE3.P6.2.4	JEE (3.0)	Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	4	"Strategies and guidance for communicating with partners, stakeholders, general public and international organizations are in place"
JEE3.P6.2.5	JEE (3.0)	Prevent	P.6 Food Safety	P6.2. Response and management of food safety emergencies	5	"The food safety emergency response plan, based on the risk analysis framework, is tested and/or reviewed after an emergency has occurred"
JEE3.P7.1.1	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	1	"Elements of a comprehensive risk-based assessment approach in national biosafety and biosecurity system, such as policy instruments and proper financing, are not in place"
JEE3.P7.1.2	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	2	"Some, but not all, elements of a comprehensive biosafety and biosecurity system are in place. The country is: i) starting the process to monitor and develop an updated record and inventory of pathogens within facilities that store or process dangerous pathogens and toxins and what they house ii) developing, but has not finalized, comprehensive national biosafety and biosecurity regulatory framework to regulate their possession and use"
JEE3.P7.1.3	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	3	"Comprehensive national biosafety and biosecurity system are in place. The country is: i) finalizing the process to support active monitoring and maintaining an up to date records and inventory of pathogens within facilities that store or process high-consequence biological agents ii) finalizing the development of comprehensive national biosafety and biosecurity framework based on risk assessment to regulate possession and use of high-consequence agents iii) finalizing the development and implementation of risk control measures, operational handling and containment failure reporting systems iv) starting the consolidation of high-consequence agents into a minimum number of facilities v) starting to put into place tools and resources to support diagnostics that do not require culturing high-consequence agents vi) starting to put in place incident and emergency and response programmes. Basic methods are in place for the safe handling, decontamination and disposal of infectious waste"
JEE3.P7.1.4	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	4	"Biosafety and biosecurity system is developed, but not sustainable. The country is: i) actively monitoring and maintaining an updated record and inventory of pathogens within facilities that store or process dangerous pathogens and toxins ii) implementing enacted comprehensive national biosafety and biosecurity regulatory framework iii) implementing the national framework to regulate possession and use of high-consequence agents iv) implementing risk control measures, operational handling and containment failure reporting systems v) completing the consolidation of high-consequence agents into a minimum number of facilities vi) employing diagnostics that preclude culturing high-consequence biological agents vii) operating incident and emergency and response programmes viii) operating waste management practices which cover sharps, contaminated waste, chemical waste and non-hazardous general waste with full documentation of waste management"
JEE3.P7.1.5	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.1. Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities"	5	"Sustainable multisectoral biosafety and biosecurity system is in place including information security. Ministries have made available adequate funding and political support for a comprehensive national biosafety and biosecurity system, including maintenance of facilities and equipment, as well as review and update the national framework and its effectiveness periodically. Complete disinfection, sterilization and waste management practices are in place"
JEE3.P7.2.1	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	1	No biological biosafety and biosecurity training or plans are in place
JEE3.P7.2.2	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	2	"Country has conducted a training needs assessment and identified gaps in biosafety and biosecurity training but has not yet implemented comprehensive training that aligns with the incumbent roles and responsibilities. General lack of awareness among the laboratory workforce of international biosafety and biosecurity best practices for safe, secure and responsible conduct is reported. Country does not yet have sustained academic training in institutions proportionate to the assessed risks, including training those who maintain or work with high-consequence agents"
JEE3.P7.2.3	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	3	"Country has training programmes in place proportionate to the assessed risks, staff roles and responsibilities, and has begun implementation. Country has specific training programmes in place at most facilities housing or working with high-consequence agents. Training on biosafety and biosecurity has been provided to staff at some, but not all, facilities that maintain or work with high-consequence agents. Country is developing sustained academic training proportionate to the assessed risks, including the one for those who maintain or work with high-consequence agents. All training is aligned with incumbent’s role and responsibilities"
JEE3.P7.2.4	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	4	"Country has training programmes in place at all facilities and staff trained proportionate to the assessed risks, roles and responsibilities, including those that house or work with high-consequence agents. Country has in place academic training proportionate to the assessed risks, including institutions that train those who maintain or work with high-consequence agents"
JEE3.P7.2.5	JEE (3.0)	Prevent	P.7 Biosafety and Biosecurity	"P7.2. Biosafety and biosecurity training and practices in all relevant sectors (including human, animal and agriculture)"	5	"Country has sustainable training programmes included into university/ college curricula of pre-service training and into continuing education programmes. Staff competence is assessed, and exercises are conducted periodically. Country has funding and capacity to sustain all of the above. A review of training needs assessment is conducted periodically and refresher training on identified needs areas are conducted. Training on emergency response procedures is provided periodically"
