line_item_id	jee3_metric_score_id	spar2_metric_score_id	hepr_metric_score_id	requirement	action	unit_cost	unit	description	administrative_level	global_health_emergency_corps_level	cost_type	custom_multiplier_1	custom_multiplier_1_units	custom_multiplier_2	custom_multiplier_2_units	relevant_references	optional_cost	notes_assumptions
5532bacc-c607-4c6d-b4cf-54d54bf67438	JEE3.P1.1.3	SPAR2.C1.1.3	NA	Conduct legal assessment and surveillance and identify gaps in the health sector at the intermediate level	Specialized analytics software or data entry software to support legal assessment	Specialized computer software license	per year	Specialized analytics software or data entry software to support legal assessment	Intermediate	Health emergency corps	Recurring	1	license			JEE 3.0	FALSE	
ea02082e-bc28-44b3-bebe-66ed593bb0f5	JEE3.P1.1.3	SPAR2.C1.1.3	NA	"Revise the necessary legal instruments for IHR implementation at the national level, focused on gaps in the health sector"	"Annual workshop to review and revise legal instruments within the health sector for IHR implementation at the national level, based on results of legal assessment and surveillance"	Meeting - Medium	per day	"Meeting expenses for annual, 2-day workshop with relevant national-level stakeholders to review and revise legal instruments for IHR implementation at the national level"	National	Connected health emergency leadership	Recurring	2	days			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts; Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps"
10ad6a95-5165-44c9-a2a8-2bf8943c0dfc	JEE3.P1.1.3	SPAR2.C1.1.3	NA	"Revise the necessary legal instruments for IHR implementation at the intermediate level, focused on gaps in the health sector"	"Annual workshop to review and revise legal instruments within the health sector for IHR implementation at the intermediate level, based on results of legal assessment and surveillance"	Meeting - Medium	per day	"Meeting expenses for annual, 2-day workshop with relevant intermediate-level stakeholders to review and revise legal instruments for IHR implementation at the national level"	Intermediate	Health emergency corps	Recurring	2	days			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts"
c6ae65c1-d650-4c76-8e1d-212a4eaee8f9	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Conduct legal assessment and surveillance and identify gaps across sectors at the national level	"Legal surveillance to identify relevant legal instruments for IHR implementation at the national level, across sectors"	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for legal surveillance to identify relevant legal instruments for IHR implementation at the national level	National	Connected health emergency leadership	One-time	0.5	years			JEE 3.0	FALSE	"JEE 3.0 notes that ""Legal assessment is a functional review to evaluate the effectiveness of legal instruments, analyzing gaps with the country’s legal system and national context in mind. Assessment findings are designed to inform the refinement and revision of existing instruments. Assessments can include simulation exercises as part of wider emergency preparedness planning."" Simulation exercises are not explicitly costed in this costed step and are instead costed elsewhere; JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts; Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps"
e4da2deb-c766-45ee-b0c6-ce3c07eb4056	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Conduct legal assessment and surveillance and identify gaps across sectors at the national level	"Annual review and update of legal surveillance to identify relevant legal instruments for IHR implementation at the national level, across sectors"	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for annual update of legal surveillance to identify new or revised legal instruments for IHR implementation at the national level	National	Connected health emergency leadership	Recurring	0.083	years			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts; Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps"
f4da2deb-c766-45ee-b0c6-ce3c07eb4056	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Conduct legal assessment and surveillance and identify gaps across sectors at the national level	Specialized analytics software or data entry software to support legal assessment	Specialized computer software license	per year	Specialized analytics software or data entry software to support legal assessment	National	Connected health emergency leadership	Recurring	1	license			JEE 3.0	FALSE	Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps
d547c881-8467-4dd3-93ac-05bcdb950fcd	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Conduct legal assessment and surveillance and identify gaps across sectors at the intermediate level	Legal surveillance to identify relevant legal instruments across sectors for IHR implementation at the intermediate level	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for legal surveillance to identify relevant legal instruments for IHR implementation at the intermediate level	Intermediate	Health emergency corps	One-time	0.5	years			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts"
a5296aa7-9fdd-4918-a8fe-e917667eca2e	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Conduct legal assessment and surveillance and identify gaps across sectors at the intermediate level	Annual review and update of legal surveillance to identify relevant legal instruments across sectors for IHR implementation at the intermediate level	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for annual update of legal surveillance to identify new or revised legal instruments for IHR implementation at the intermediate level	Intermediate	Health emergency corps	Recurring	0.083	years			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts"
j4da2deb-c766-45ee-b0c6-ce3c07eb4056	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Conduct legal assessment and surveillance and identify gaps across sectors at the intermediate level	Specialized analytics software or data entry software to support legal assessment	Specialized computer software license	per year	Specialized analytics software or data entry software to support legal assessment	Intermediate	Health emergency corps	Recurring	1	license			JEE 3.0	FALSE	
687dc53d-dbea-4d4d-86e1-f05609f28565	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Ensure legal instruments are harmonized at the national and intermediate levels	"Annual review to ensure that legal instruments are harmonized at the national and intermediate levels, to ensure appropriate coordination and implementation"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support for annual review to ensure that legal instruments are harmonized at the national and intermediate levels, to ensure appropriate coordination and implementation"	Intermediate	Interoperable surge deployment	Recurring	0.083	years			JEE 3.0	FALSE	
b848373d-c217-4be5-9a5c-7776288a03c2	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Revise the necessary legal instruments for IHR implementation at the national level	"Annual workshop to review and revise legal instruments across sectors for IHR implementation at the national level, based on results of legal assessment and surveillance"	Meeting - Medium	per day	"Meeting expenses for annual, 3-day workshop with relevant national-level stakeholders to review and revise legal instruments for IHR implementation at the national level"	National	Connected health emergency leadership	Recurring	3	days			JEE 3.0	FALSE	Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps
248b9ab4-3b62-4cb7-bb58-841afe2581d6	JEE3.P1.1.4	SPAR2.C1.1.4	NA	Revise the necessary legal instruments for IHR implementation at the intermediate level	"Annual workshop to review and revise legal instruments across sectors for IHR implementation at the intermediate level, based on results of legal assessment and surveillance"	Meeting - Medium	per day	"Meeting expenses for annual, 3-day workshop with relevant intermediate-level stakeholders to review and revise legal instruments for IHR implementation at the national level"	Intermediate	Health emergency corps	Recurring	3	days			JEE 3.0	FALSE	"JEE score of '3' for this indicator focuses on within the health sector, JEE score of '4' for this indicator focuses on cross-sector efforts"
107286be-fa00-4be2-b9de-d592f3b11f4d	JEE3.P1.1.4	NA	HEPR.ACM.5.2.1	Ensure officials across relevant sectors are aware of relevant legal instruments that support IHR implementation	Annual training and education event to ensure officials across relevant sectors are aware of relevant legal instruments that support IHR implementation	Meeting - Large	per day	"Meeting expenses for annual, 2-day workshop with relevant national-level stakeholders to ensure officials across relevant sectors are aware of relevant legal instruments that support IHR implementation"	National	Connected health emergency leadership	Recurring	2	days			JEE 3.0	FALSE	"National level workshop based on contextual question #5 for this capacity: ""Are officials across relevant sectors aware of relevant legal instruments that support IHR implementation?""; Assume that understanding national-level legal environment is a critical part of effective-high level leadership for emergency corps"
27d14dad-1772-4ebc-ab41-4494206fcd4d	JEE3.P1.1.4	NA	HEPR.ACM.5.2.1	Ensure officials across relevant sectors are aware of relevant legal instruments that support IHR implementation	Annual training and education event to ensure officials across relevant sectors are aware of relevant legal instruments that support IHR implementation	Meeting - Large	per day	"Meeting expenses for annual, 2-day workshop with relevant intermediate-level stakeholders to ensure officials across relevant sectors are aware of relevant legal instruments that support IHR implementation"	Intermediate	Health emergency corps	Recurring	2	days			JEE 3.0	FALSE	"Intermediate level workshop based on contextual question #5 for this capacity: ""Are officials across relevant sectors aware of relevant legal instruments that support IHR implementation?""; assume meeting required length is 50% that of national-level meetings (e.g., 1 day vs. 2 days)"
91c34b75-9ea0-4d30-9fba-8bfe4fed03d9	JEE3.P1.1.4	NA	NA	Ensure legal instruments appropriately facilitate coordination and cooperation at the domestic-international interface during a public health emergency	Assess international agreements and relevant legal instruments to facilitate coordination and cooperation at the domestic-international interface during a public health emergency	Meeting - Large	per day	"Meeting expenses for annual, 3-day international workshop to review and discuss any necessary updates or revisions to international agreements and relevant legal instruments that facilitate coordination and cooperation at the domestic-international interface during a public health emergency"	National	Interoperable surge deployment	Recurring	3	days			JEE 3.0	FALSE	"Technical question #10 for this indicator: ""Do legal instruments facilitate coordination and cooperation at the domestic-international interface during a public health emergency?"""
da482f7c-2b52-445e-b75a-6e63e75da9c0	JEE3.P1.1.4	NA	NA	Ensure legal instruments appropriately facilitate coordination and cooperation at the domestic-international interface during a public health emergency	Assess international agreements and relevant legal instruments to facilitate coordination and cooperation at the domestic-international interface during a public health emergency	Meeting - Large	per day	"Per diems for annual, 3-day international workshop to review and discuss any necessary updates or revisions to international agreements and relevant legal instruments that facilitate coordination and cooperation at the domestic-international interface during a public health emergency"	National	Interoperable surge deployment	Recurring	3	days	3	staff members	JEE 3.0	FALSE	"Technical question #10 for this indicator: ""Do legal instruments facilitate coordination and cooperation at the domestic-international interface during a public health emergency?"" // Assume 3 staff members travel for international meeting"
23308bcd-ef2c-4d41-8447-9c57fa5158e7	JEE3.P1.1.4	NA	NA	Ensure legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies	Assess the extent to which legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies	Consultant fees (daily)	per day	Hire independent consultant to assess the extent to which legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies and to make recommendations for future updates or revisions	National	Health emergency corps	One-time	20	days			JEE 3.0	FALSE	"Technical question #11 for this indicator: ""Do legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies?"""
6c76e6aa-9b93-4236-aae0-ae41e30c80dc	JEE3.P1.1.4	NA	NA	Ensure legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies	Assess the extent to which legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies	International travel	per trip	Hire independent consultant to assess the extent to which legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies and to make recommendations for future updates or revisions	National	Health emergency corps	One-time	1	trip			JEE 3.0	FALSE	"Technical question #11 for this indicator: ""Do legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies?"""
08fb9cea-b0bf-44ea-b9aa-d04919827460	JEE3.P1.1.4	NA	NA	Train for national-level legal experts in the development and evaluation of legal instruments to provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies	Travel and conference attendance for two national legal experts to attend relevant conference or training event per year	Conference registration	per conference	Conference registration fees for two national legal experts to attend relevant conference or training event per year	National	Health emergency corps	Recurring	2	employees	1	conference/year	JEE 3.0	FALSE	Do legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies?
9cd50152-4104-404b-ad26-f0b52fa7bbc5	JEE3.P1.1.4	NA	NA	Train for national-level legal experts in the development and evaluation of legal instruments to provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies	Travel and conference attendance for two national legal experts to attend relevant conference or training event per year	International travel	per trip	Travel expenses for two national legal experts to attend relevant conference or training event per year	National	Health emergency corps	Recurring	2	employees	1	trip/year	JEE 3.0	FALSE	Do legal instruments provide safeguards for the protection of vulnerable and at-risk populations during public health emergencies?
fe5afe11-9f6e-4d19-98ae-0b66388c03c5	JEE3.P1.2.2	SPAR2.C1.2.2	NA	Conduct systematic assessment of gender gaps for at least one IHR capacity	"Review, analyze, and document in-country gender gaps for at least one IHR capacity"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support to review, analyze, and document gender gaps for at least one IHR capacity"	National	None	One-time	0.25	years			JEE 3.0	FALSE	
70812c4d-e42a-495b-a897-742b15eefa72	JEE3.P1.2.2	SPAR2.C1.2.2	NA	Conduct systematic assessment of gender gaps for at least one IHR capacity	"Conduct evidence-based research and literature review documenting gender inequalities in IHR capacities’ areas, by government and external partners including civil society organizations"	Annual salary 1 (low) plus overhead (60.0%)	per year	"Salary support to conduct evidence-based research and literature review documenting gender inequalities in IHR capacities’ areas, by government and external partners including civil society organizations "	National	None	One-time	0.083	years			JEE 3.0	FALSE	"From JEE 3.0 documentation or evidence for level of capacity: ""Assessments and other evidence-based research documenting gender inequalities in IHR capacities’ areas, by government and external partners including civil society organizations."""
72be0677-3d91-4c60-a2aa-8f867f94f17b	JEE3.P1.2.2	SPAR2.C1.2.2	NA	Conduct systematic assessment of gender gaps for at least one IHR capacity	Stakeholder workshop for interviews and to provide feedback on gender gaps in at least one IHR capacity	Meeting - Medium	per day	Meeting expenses for two-day stakeholder workshop for interviews and to provide feedback on gender gaps	National	None	One-time	2	days			JEE 3.0	FALSE	N/A
69f1e8de-620b-412d-a048-21ea3c683980	JEE3.P1.2.2	SPAR2.C1.2.2	NA	Conduct systematic assessment of gender gaps for at least one IHR capacity	Stakeholder workshop for interviews and to provide feedback on gender gaps in at least one IHR capacity	Per diem for meeting - Domestic	per day	Per diems and meeting support to reimburse 10 community stakeholders to attend national-level workshop for interviews and to provide feedback on gender gaps	National	None	One-time	2	days	10	community stakeholders	JEE 3.0	FALSE	N/A
19f1e8de-620b-412d-a048-21ea3c683980	JEE3.P1.2.2	SPAR2.C1.2.2	NA	Conduct systematic assessment of gender gaps for at least one IHR capacity	Specialized analytics software or data entry software to support systematic assessment of gender gaps	Specialized computer software license	per year	Specialized analytics software or data entry software to support systematic assessment of gender gaps	National	None	Recurring	1	license			JEE 3.0	FALSE	
6b4d156c-41af-424d-9588-1b9e57557cc4	JEE3.P1.2.3	SPAR2.C1.2.3	NA	Develop action plan to address high priority gender gaps in at least one IHR capacity	Draft and revise action-plan to address high priority gender gaps in at least one IHR capacity	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support to draft and revise action plan to address high-priority gender gaps in at least one IHR capacity	National	None	One-time	0.25	years			JEE 3.0	FALSE	N/A
dbbb2331-6560-48b2-9f56-11ab5ab5af85	JEE3.P1.2.3	SPAR2.C1.2.3	NA	Develop action plan to address high priority gender gaps in at least one IHR capacity	Stakeholder workshop to review and provide feedback related to action plan to address high priority gender gaps in at least one IHR capacity	Meeting - Medium	per day	Meeting expenses for 2-day stakeholder workshop to review and revise action-plan to address high priority gender gaps in at least one IHR capacity	National	None	One-time	2	days			JEE 3.0	FALSE	N/A
14fc785e-68b9-4458-97bd-67573efb593d	JEE3.P1.2.3	SPAR2.C1.2.3	NA	Develop action plan to address high priority gender gaps in at least one IHR capacity	Public meeting to solicit community feedback on action plan to address high priority gender gaps in at least one IHR capacity	Meeting - Large	per day	Meeting expenses for 2-day public meeting and event to solicit community feedback on action plan to address high priority gender gaps in at least one IHR capacity	National	None	One-time	2	days			JEE 3.0	FALSE	"Contextual question #10 for this indicator: ""Are the perspectives of different genders taken into consideration to guide IHR implementation and the management of health emergencies"""
21a38f55-96f7-40ae-9146-004119bc13a8	JEE3.P1.2.3	SPAR2.C1.2.3	NA	Incorporate action plan to address high priority gender gaps into annual workplans	Stakeholder workshop to ensure activities to address high priority gender gaps are incorporated into annual workplans	Meeting - Medium	per day	Meeting expenses for 2-day stakeholder workshop to ensure activities to address high priority gender gaps are incorporated into annual workplans	National	None	Recurring	2	days			JEE 3.0	FALSE	"Not costing the development of work plans themselves, which are assumed to be covered by additional/existing salary support (e.g., from budget office)"
55765fc7-d00a-4ddb-84d0-483c1aa2a73f	JEE3.P1.2.4	SPAR2.C1.2.4	NA	Identify and procure funding for action plan to address high priority gender gaps	"Analysis, revise, and advocacy to secure funding to address high priority gender gaps"	Annual salary 2 (mid) plus overhead (60.0%)	per year	Salary support for review and advocacy to identify potential funding sources and mechanisms	National	None	Recurring	0.083	years			JEE 3.0	FALSE	"From documentation for level of capacity ""Budget allocations to strategies and/or activities specifically aimed at addressing gender inequalities"""
db3d3960-0a7a-4a9d-ba88-15def1be8422	JEE3.P1.2.4	SPAR2.C1.2.4	NA	"Support mechanisms for monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	"Draft and revise plans and policies for monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	Annual salary 2 (mid) plus overhead (60.0%)	per year	"Salary support to draft and revise plans and policies for monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	National	None	One-time	0.083	years			JEE 3.0	FALSE	
efe2ee64-5898-4a32-85eb-5a678e2e7eb7	JEE3.P1.2.4	SPAR2.C1.2.4	NA	"Support mechanisms for monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	"Ongoing monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	Annual salary 1 (low) plus overhead (60.0%)	per year	"Salary support to support ongoing monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	National	None	Recurring	1	years			JEE 3.0	FALSE	
884294a2-9a23-4f81-b8c2-61ce44890ae7	JEE3.P1.2.4	SPAR2.C1.2.4	NA	"Support mechanisms for monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	"Ongoing monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	Meeting - Medium	per day	"Annual 2-day workshop at the intermediate level to provide feedback and solicit data related to the ongoing monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	Intermediate	None	Recurring	2	days			JEE 3.0	FALSE	
284294a2-9a23-4f81-b8c2-61ce44890ae7	JEE3.P1.2.4	SPAR2.C1.2.4	NA	"Support mechanisms for monitoring, evaluation, and reporting for action plan to address high priority gender gaps"	Specialized analytics software or data entry software to support ongoing monitoring and evaluation of high priority gender gaps	Specialized computer software license	per year	Specialized analytics software or data entry software to support ongoing monitoring and evaluation of high priority gender gaps	National	None	Recurring	1	license			JEE 3.0	FALSE	
9a84d7d5-039d-4bb4-b5fd-42c44526eddd	JEE3.P1.2.4	SPAR2.C1.2.4	HEPR.CP.2.2.1	"Develop and maintain mechanisms and tools for the collection, reporting and dissemination of data disaggregated by sex, age, education, income/economic status, ethnic origin, geographical location, disability and/or other variables"	"Initial survey data collection to collect relevant household and/or workforce and/or healthcare data disaggregated by relevant demographic variables to include sex, age, education, income/economic status, ethnic origin, geographical location, disability"	Nationally representative survey	per survey administration	"Initial data collection for 3 nationally representative surveys collection to collect relevant household and/or workforce and/or healthcare data disaggregated by relevant demographic variables to include sex, age, education, income/economic status, ethnic origin, geographical location, disability"	National	None	One-time	3	surveys			JEE 3.0; Global Partnership for Sustainable Data Development. (2016). The State of Development Data 2016. https://opendatawatch.com/the-state-of-development-data-2016/	FALSE	"From JEE 3.0 technical questions for this indicator ""Are there mechanisms and tools available for the collection, reporting and dissemination of data disaggregated by sex, age, education, income/economic status, ethnic origin, geographical location, disability and/or other variables, with respect to health emergencies and across IHR capacities? (e.g. Do surveillance mechanisms include sex disaggregation at all levels of data collection and analysis?) Have gender and equity gaps in data collection, management, analysis and use been assessed for one or more IHR capacity? (e.g., Analysis of gender-ratios in health workforce, including decision-making roles; analysis of who cares for livestock, and whether gender roles allow them to access information and service for the prevention of zoonotic diseases; immunization coverage across genders; etc.) To what extent do monitoring and evaluation indicators, advocacy and communication reflect gender differentials across IHR capacities? (e.g., indicator’s measure differentiated exposure to risk across people of diverse gender identities, accounting for their differentiated roles in the communities they live in; press releases and public statements include sex-disaggregated data; etc.)"""
fe27f5a4-6bc8-48dd-a6d5-4ac908df35aa	JEE3.P1.2.4	SPAR2.C1.2.4	HEPR.CP.2.2.1	"Develop and maintain mechanisms and tools for the collection, reporting and dissemination of data disaggregated by sex, age, education, income/economic status, ethnic origin, geographical location, disability and/or other variables"	"Recurrent/ongoing data collection to collect relevant household and/or workforce and/or healthcare data disaggregated by relevant demographic variables to include sex, age, education, income/economic status, ethnic origin, geographical location, disability"	Nationally representative survey	per survey administration	"Initial (one-time) data collection for 3 nationally representative surveys collection to collect relevant household and/or workforce and/or healthcare data disaggregated by relevant demographic variables to include sex, age, education, income/economic status, ethnic origin, geographical location, disability"	National	None	Recurring	3	surveys	0.4	surveys/year	JEE 3.0; Global Partnership for Sustainable Data Development. (2016). The State of Development Data 2016. https://opendatawatch.com/the-state-of-development-data-2016/	FALSE	"From JEE 3.0 technical questions for this indicator ""Are there mechanisms and tools available for the collection, reporting and dissemination of data disaggregated by sex, age, education, income/economic status, ethnic origin, geographical location, disability and/or other variables, with respect to health emergencies and across IHR capacities? (e.g. Do surveillance mechanisms include sex disaggregation at all levels of data collection and analysis?) Have gender and equity gaps in data collection, management, analysis and use been assessed for one or more IHR capacity? (e.g., Analysis of gender-ratios in health workforce, including decision-making roles; analysis of who cares for livestock, and whether gender roles allow them to access information and service for the prevention of zoonotic diseases; immunization coverage across genders; etc.) To what extent do monitoring and evaluation indicators, advocacy and communication reflect gender differentials across IHR capacities? (e.g., indicator’s measure differentiated exposure to risk across people of diverse gender identities, accounting for their differentiated roles in the communities they live in; press releases and public statements include sex-disaggregated data; etc.)""; Assume surveys re-administered at frequency of approximately 4 surveys per 10 year cycle based on data from Global Partnership for Sustainable Data Development (see reference table 2.1, DHS or MICS-like surveys)"
